"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"387",NA,"Female","1","2",10,5,4,3,1,6,8
"388",NA,"Female","0","2",5,5,7,10,1,8,6
"389",NA,"Female","1","2",10,3,10,10,1,10,6
"390","Fairly good","Female","0","2",8,7,10,5,1,10,10
"391","Fairly good","Female","0","1",6,10,9,10,1,9,5
"392",NA,"Female","1","2",8,5,8,5,1,5,5
"393","Fairly good","Female","0","1",8,1,8,8,1,8,8
"394","Fairly good","Male","0","1",1,5,4,8,2,8,10
"395","Very bad","Male","1","2",8,1,5,8,2,6,7
"396","Very good","Male","0","2",8,1,1,7,2,10,10
"397","Fairly good","Male","0","2",6,1,1,8,2,10,10
"398","Very good","Female","0","1",NA,1,1,1,4,10,10
"399","Very good","Female","0","2",6,6,4,5,1,8,8
"400","Very good","Female","0",NA,2,6,9,9,NA,9,1
"401","Fairly good","Male","0","1",8,5,0,10,1,10,10
"402",NA,"Female","0","1",NA,NA,NA,6,2,NA,6
"403","Fairly good","Female","1","2",5,6,9,8,3,9,3
"404","Fairly good","Female","1","2",7,2,4,5,1,8,8
"405","Fairly good","Male","0","2",6,NA,3,5,2,8,8
"406","Very good","Female","0","2",7,3,5,4,2,8,9
"407","Fairly good","Male","0","2",6,3,5,5,2,8,8
"408","Very good","Male","0","2",7,5,6,5,2,8,8
"409","Fairly good","Female","0","1",6,9,5,6,1,4,7
"410","Very bad","Female","0","2",4,7,4,5,1,6,5
"411","Fairly bad","Male","1","2",7,6,8,6,3,4,2
"412","Very bad","Female","1","2",2,6,0,10,1,10,1
"413","Very good","Male","0","2",3,1,2,8,1,10,10
"414","Fairly good","Male","1","2",6,9,7,5,2,5,8
"415","Very good","Female","1","2",2,1,2,10,1,10,7
"416","Fairly good","Male","1","2",7,4,6,9,1,8,7
"417","Fairly good","Male","1",NA,NA,6,5,6,2,8,5
"418","Fairly good","Female","0","1",5,2,3,8,1,8,9
"419","Fairly good","Female","0","1",10,1,10,1,1,10,9
"420",NA,"Female","0","1",8,10,2,10,1,NA,10
"421",NA,"Female","0","1",5,4,5,7,1,5,10
"422","Fairly bad","Male","0","1",5,1,3,3,3,3,2
"423",NA,"Female","0","2",10,5,6,9,1,8,8
"424","Very good","Female","1","2",7,5,6,4,1,7,7
"425","Fairly good","Male","0","2",8,7,7,7,2,9,8
"426","Fairly bad","Female","0","2",5,NA,10,10,2,10,5
"427","Fairly bad","Male","1","3",NA,5,10,6,2,10,5
"428","Fairly good","Female","1","2",5,0,0,7,1,10,10
"429","Fairly good","Female","1","2",NA,0,0,0,2,10,10
"430","Fairly good","Female","1","2",8,3,5,6,2,5,5
"431","Fairly bad","Male","0","1",8,1,3,7,2,8,9
"432","Very good","Male","0",NA,NA,7,9,1,1,7,8
"433","Very bad","Female","0","2",5,5,4,5,1,5,10
"434","Fairly good","Female","0","2",5,10,4,6,2,7,10
"435","Fairly good","Female","0","1",NA,2,0,10,2,8,9
"436","Fairly good","Female","0","1",1,1,1,10,2,7,10
"437","Very good","Female","0","1",9,0,0,8,2,8,10
"438","Fairly good","Male","1","1",5,1,0,10,2,10,10
"439","Fairly good","Female","0","1",NA,5,10,10,2,10,1
"440","Fairly good","Female","0","1",7,10,5,10,1,5,7
"441","Fairly good","Female","0","1",8,6,3,8,1,8,8
"442","Fairly good","Female","0","1",NA,3,4,5,2,5,5
"443","Fairly good","Male","0","1",NA,2,NA,10,2,10,8
"444","Fairly good","Female","0","1",10,NA,NA,NA,1,NA,NA
"445","Fairly good","Male","0","2",8,0,0,9,2,10,10
